Company,Time,Financial Distress,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,2.9413,2.1723,0.31945,0.44139,0.94698,0.4274,0.48126,1.392,0.33734,0.57188,0.40179,0.89178,10.686,0.55861,0.79017,4.9692,0.45132,1.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,2.6598,2.0924,0.30348,0.43822,0.99193,0.4263,0.46532,1.4912,0.30595,0.54022,0.40856,0.8913,11.393,0.56178,0.78007,3.4146,0.42977,2.2487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,2.232,2.2263,0.32588,0.40651,0.90804,0.45534,0.49355,1.6528,0.35888,0.54909,0.41963,0.89601,12.617,0.59349,0.68495,1.3911,0.50146,1.9978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,-1.6599,0.8744,-0.034676,0.7935,0.60952,-0.0026316,-0.086847,0.50609,-0.056892,-0.16793,-0.034521,0.60458,-0.026892,0.2065,3.8427,2.4969,-0.0043176,3.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0.02275,0.83537,0.06431,0.6143,0.49359,0.097075,-0.096852,0.18896,0.13029,0.16674,0.00089543,0.49143,2.595,0.3857,1.5927,8.3744,0.19667,1.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.003775,0.93286,0.042339,0.61528,0.49212,0.08786,-0.039606,0.1909,0.086033,0.11005,0.00495,0.55026,1.8168,0.38472,1.5993,7.9159,0.17853,0.89707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0.00018333,0.93575,0.051198,0.64823,0.63071,0.089359,-0.040794,0.19663,0.081176,0.14554,0.00075299,0.59413,2.1539,0.35177,1.8428,7.6529,0.14168,1.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.22253,0.92927,0.044282,0.6581,0.62542,0.069817,-0.046241,0.19544,0.070804,0.12952,5.31E-05,0.60752,2.2469,0.3419,1.9248,6.4299,0.11163,1.1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,0.44662,1.086,0.080419,0.57018,0.66855,0.1124,0.048281,0.33217,0.12029,0.1871,0.067581,0.60966,2.4925,0.42982,1.3266,5.3558,0.16812,1.2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1.2394,1.19,0.12238,0.5663,0.78135,0.20811,0.10594,0.29836,0.15662,0.28217,0.11649,0.66341,4.5916,0.4337,1.3057,8.6687,0.26634,1.2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,1.7741,1.8267,0.26758,0.35965,1.0297,0.27086,0.28859,0.45172,0.25986,0.41787,0.32207,0.63767,11.998,0.64035,0.56164,7.8692,0.26304,1.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,0.72655,1.7263,0.19411,0.3838,0.86503,0.25093,0.2469,0.4611,0.2244,0.31502,0.36453,0.58683,148.18,0.6162,0.62286,8.5602,0.29008,1.3486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,0.8559,1.5447,0.19438,0.37819,0.77048,0.21684,0.20037,0.39513,0.25229,0.3126,0.24975,0.56818,92.486,0.62181,0.60821,7.4631,0.28144,1.2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,1.4163,2.1297,0.12151,0.3346,0.81157,0.16804,0.35976,0.63328,0.14972,0.18261,0.29114,0.67821,13.253,0.6654,0.50285,4.6793,0.20705,1.2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,1.8118,1.5107,0.23817,0.44954,0.87366,0.32337,0.22424,0.36379,0.27261,0.43267,0.30932,0.66332,23.782,0.55046,0.81666,10.13,0.37013,1.2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,0.86188,1.9022,0.21737,0.36024,0.9797,0.29364,0.32087,0.78257,0.22187,0.33977,0.31619,0.6765,13.815,0.63976,0.5631,4.2073,0.29973,1.9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,1.0964,2.0867,0.16606,0.31573,0.90574,0.23381,0.33887,0.86546,0.18335,0.24269,0.30473,0.65071,11.075,0.68427,0.46141,3.6752,0.25814,1.7406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,1.277,3.1096,0.13363,0.21635,0.70654,0.17303,0.44608,1.2587,0.18914,0.17053,0.3926,0.65753,57.872,0.78365,0.27607,3.7567,0.2449,1.3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0.07455,1.2101,0.11839,0.76603,0.72283,0.15688,0.15207,0.32132,0.16379,0.50601,0.08407,0.87597,18.948,0.23397,3.274,3.8539,0.21704,0.88644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0.0038233,1.1486,0.1512,0.78187,0.72707,0.19198,0.11208,0.48278,0.20795,0.69316,0.011331,0.86633,22.293,0.21813,3.5845,3.0584,0.26405,1.1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,0.19598,1.1069,0.14045,0.80683,0.49922,0.1173,0.081653,0.44606,0.28134,0.72707,0.00057813,0.84552,18.437,0.19317,4.1767,2.3402,0.23496,0.8731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,0.95538,1.0243,0.10278,0.84027,0.45182,0.073896,0.019752,0.45144,0.22748,0.64343,0.022358,0.83092,2.116,0.15973,5.2604,1.763,0.16355,1.0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1.6764,1.1074,0.067822,0.82447,0.43839,0.0012902,0.08612,0.63442,0.15471,0.38638,0.077654,0.88778,0.039941,0.17553,4.6969,1.234,0.002943,1.3898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,2.5348,1.0481,0.077902,0.81324,0.44515,0.029445,0.038559,0.59741,0.175,0.41713,0.10869,0.83998,1.0419,0.18676,4.3545,1.5467,0.066147,1.3401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,4.7068,1.0657,0.1069,0.78535,0.50942,0.067353,0.050888,0.57583,0.20984,0.49802,0.14552,0.8255,3.6061,0.21465,3.6588,1.8804,0.13222,1.3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,6.4706,1.2029,0.16304,0.67168,0.57554,0.17889,0.1343,0.74038,0.28328,0.49659,0.26144,0.79612,11.127,0.32832,2.0458,2.0601,0.31082,1.3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,5.205,1.1537,0.15748,0.68057,0.43943,0.18575,0.10293,0.81858,0.35838,0.49301,0.26931,0.77245,6.8154,0.31943,2.1306,1.1709,0.4227,1.2781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,0.59028,1.2163,0.10466,0.60632,0.2889,0.12945,0.12832,0.9461,0.36228,0.26585,0.19685,0.72165,2.4889,0.39368,1.5401,0.73237,0.44808,1.2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,0.84951,1.0337,0.068747,0.73285,0.2266,0.067196,0.024302,0.76009,0.30338,0.25733,0.095434,0.74478,1.111,0.26715,2.7432,0.53862,0.29653,1.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1.1379,1.103,0.066132,0.70322,0.27541,0.074888,0.070884,0.75734,0.24013,0.22283,0.13042,0.75877,1.1497,0.29678,2.3695,0.7122,0.27192,1.2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,1.5366,1.1522,0.097304,0.69537,0.35407,0.11679,0.10304,0.82961,0.27482,0.31942,0.15355,0.78025,1.9954,0.30463,2.2827,1.0459,0.32985,1.3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,1.6378,1.2121,0.084192,0.70161,0.33803,0.1305,0.14452,0.9353,0.24906,0.28215,0.17254,0.82576,2.0584,0.29839,2.3513,0.78395,0.38607,1.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0.55179,0.75482,0.049331,0.85058,0.74077,0.070051,-0.15706,0.28857,0.066594,0.33015,0.042625,0.48354,3.5345,0.14942,5.6926,57.142,0.094565,3.7388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,0.90317,0.70755,0.072754,0.86306,0.89799,0.155,-0.21669,0.29038,0.081019,0.5313,0.045618,0.52425,2.4927,0.13694,6.3027,30.372,0.17261,3.6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,0.95766,0.73538,0.071925,0.86171,0.8094,0.12065,-0.21168,0.39235,0.088862,0.5201,0.062283,0.58828,1.917,0.13829,6.2312,12.816,0.14906,4.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,0.30548,0.58868,0.085379,0.83625,0.79581,0.12756,-0.32359,0.35138,0.10728,0.5214,0.076145,0.46313,1.7752,0.16375,5.107,16.829,0.16029,5.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,0.52779,0.69931,0.035085,0.89497,0.689,0.11691,-0.22663,0.47128,0.050922,0.33405,0.021225,0.52706,1.6279,0.10503,8.5211,7.9606,0.16969,4.4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,-0.19589,0.68136,0.049257,0.86638,0.75171,0.091661,-0.25638,0.47183,0.065527,0.36863,0.03769,0.54821,1.2671,0.13362,6.4838,9.4209,0.12194,6.1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,0.18757,0.60064,0.012725,0.92407,0.87601,0.085347,-0.35571,0.41673,0.014526,0.16759,-0.016812,0.53499,1.2387,0.07593,12.17,7.1305,0.097427,6.9061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,0.62713,0.67274,0.031054,0.8991,1.0478,0.12337,-0.28492,0.47442,0.029637,0.30776,0.014809,0.58571,1.5989,0.1009,8.9104,5.029,0.11774,6.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,0.35803,0.72911,0.045185,0.87972,1.0902,0.14949,-0.23046,0.53017,0.041446,0.37566,0.043644,0.6203,2.02,0.12028,7.3137,4.5202,0.13712,7.4538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,-0.30963,0.75708,0.033639,0.87441,1.0562,0.12728,-0.20585,0.58402,0.031851,0.26786,0.031048,0.64155,1.5697,0.12559,6.9626,3.2776,0.12051,7.5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,-0.43217,0.77645,-0.038434,0.93345,0.68218,-0.0021874,-0.20161,0.55105,-0.056339,-0.5775,-0.0264,0.70022,-0.023195,0.066552,14.026,2.545,-0.0032065,4.0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,0.16032,0.84698,-0.010783,0.93693,0.85717,0.068759,-0.13053,0.61293,-0.012579,-0.17095,-0.041892,0.72251,0.61686,0.063075,14.854,3.9067,0.080217,4.7376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,0.11538,0.90882,0.062834,0.84538,1.747,0.1638,-0.068749,0.6675,0.035967,0.40639,0.02007,0.68524,1.3736,0.15462,5.4676,19.194,0.093759,12.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,0.24963,1.0103,0.0059592,0.86908,1.1301,0.060494,0.0071685,0.81619,0.0052731,0.04552,0.012836,0.70255,0.80034,0.13092,6.6385,3.363,0.053529,12.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0.89043,1.0301,0.032416,0.89713,0.5114,0.082853,0.018201,0.42797,0.063387,0.31513,0.028305,0.62333,1.4252,0.10287,8.7212,2.5387,0.16201,1.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0.15661,1.1109,0.050721,0.85006,0.6536,0.11466,0.067192,0.27155,0.077602,0.33827,0.043008,0.67313,2.0275,0.14994,5.6694,6.1494,0.17543,1.3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,0.25277,1.0193,0.076679,0.87019,0.93517,0.15531,0.014028,0.26007,0.081995,0.5907,0.01658,0.74072,3.0037,0.12981,6.7036,6.2243,0.16608,1.6469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,0.86431,0.99425,0.086791,0.89379,0.81001,0.14749,-0.0047051,0.34322,0.10715,0.81716,0.019846,0.81374,2.3855,0.10621,8.4152,3.7081,0.18209,1.3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,0.90904,0.96542,0.060374,0.85715,0.79762,0.12978,-0.02653,0.51771,0.075692,0.42262,0.062857,0.74058,1.6252,0.14285,6.0001,2.3652,0.16271,2.3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,0.52871,0.97977,0.057589,0.84979,0.5297,0.095179,-0.015664,0.53814,0.10872,0.38338,0.053784,0.75873,1.3782,0.15021,5.6572,1.6982,0.17968,1.4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.19253,0.96214,0.048009,0.82813,0.74143,0.11451,-0.029758,0.56517,0.064751,0.27933,0.056372,0.7563,1.3749,0.17187,4.8183,2.0632,0.15444,2.3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,-0.43095,1.0577,0.014816,0.83461,0.6685,0.056655,0.040592,0.69196,0.022164,0.089585,0.024847,0.74351,0.49296,0.16539,5.0463,1.6839,0.084748,2.4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,0.2864,0.74591,-0.073537,0.92953,0.30882,0.020829,-0.20574,0.40559,-0.23812,-1.0435,-0.04615,0.60396,0.18394,0.070471,13.19,1.2229,0.067446,1.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,-0.44409,0.81745,0.076067,0.86915,0.56199,0.15576,-0.14171,0.55527,0.13535,0.58131,0.027032,0.63458,1.4133,0.13085,6.6421,1.659,0.27716,2.3902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,-1.2654,0.94406,-0.067489,0.9384,0.22247,0.0014593,-0.039234,0.61642,-0.30337,-1.0956,-0.041708,0.66218,0.011357,0.061602,15.233,0.7748,0.0065598,0.85659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,0.3983,1.1663,0.12278,0.81884,0.92626,0.20804,0.1201,0.58087,0.13256,0.67777,0.091066,0.84215,3.908,0.18116,4.5201,2.4017,0.2246,1.7487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,0.7289,1.2068,0.074742,0.7891,0.91616,0.17014,0.14359,0.62608,0.081583,0.35439,0.056824,0.83803,2.2948,0.2109,3.7415,2.4749,0.18571,2.2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,1.5478,1.0773,0.080195,0.81651,0.90085,0.17031,0.060081,0.68858,0.089021,0.43706,0.072976,0.83756,2.4863,0.18349,4.45,1.7847,0.18906,2.5334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,3.0613,1.2414,0.17628,0.71673,1.181,0.30448,0.16238,0.85925,0.14926,0.6223,0.16535,0.835,3.7496,0.28327,2.5302,2.2666,0.25781,3.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,3.7684,1.452,0.23522,0.6379,1.0767,0.32974,0.26921,0.79538,0.21846,0.64961,0.26614,0.86474,11.546,0.3621,1.7617,2.4415,0.30624,1.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,0.80947,1.345,0.20097,0.65941,0.95199,0.28178,0.21672,0.73821,0.21111,0.59008,0.26342,0.84484,8.1387,0.34059,1.9361,2.2837,0.29599,2.0496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,0.83493,1.4406,0.15077,0.58002,0.86672,0.24662,0.24505,0.70161,0.17395,0.35898,0.18104,0.80118,4.8405,0.41998,1.381,2.5404,0.28454,1.5438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.64581,1.3814,0.17671,0.60882,1.0587,0.25491,0.22317,0.87206,0.16691,0.45174,0.16868,0.80825,7.0525,0.39118,1.5563,2.129,0.24077,2.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,0.45568,1.3033,0.13687,0.66832,0.80549,0.21384,0.19615,0.80853,0.16992,0.41264,0.12263,0.84277,4.0631,0.33168,2.0149,1.8559,0.26548,2.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,0.30504,1.2959,0.14849,0.67089,0.86552,0.243,0.19307,0.85318,0.17156,0.45118,0.096359,0.84554,3.4175,0.32911,2.0385,1.6554,0.28076,2.8097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,1.4772,1.2233,0.07719,0.72854,0.77349,0.20586,0.15849,0.66841,0.099795,0.28435,0.059702,0.86818,1.9201,0.27146,2.6837,2.4354,0.26615,1.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12,1.1814,1.6521,0.24664,0.5617,1.0121,0.4452,0.35684,1.0469,0.24369,0.56273,0.22688,0.9041,4.1323,0.4383,1.2816,3.7012,0.43987,2.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,0.83918,1.65,0.19531,0.56575,0.91685,0.31892,0.35728,1.1254,0.21302,0.44976,0.22484,0.90697,3.9199,0.43425,1.3028,4.2107,0.34784,2.3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,0.57721,1.4771,0.15972,0.63165,0.76618,0.24601,0.28888,1.1051,0.20847,0.43362,0.16199,0.89433,3.1652,0.36835,1.7148,1.2825,0.32108,2.3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
